title,uuid,tags,links,last_mod_dt,word_count
Use Because Statements For Engagement,['202009042122'],"['#writing', '#skill']","['[[202009042122]]', '[[202101141638]]']",Wed Dec 27 20:17:20 2023,102
Awareness Of The Inner State Of The Body,['202203181533'],"['#mind-science', '#cognition', '#definition']","['[[202203181533]]', '[[202203232032]]', '[[202203181551]]', '[[201903191706]]', '[[202203232020]]', '[[202203232032]]']",Wed Dec 27 20:17:20 2023,430
The halo effect,['201905140822'],['#thinking-skills'],"['[[202308180717]]', '[[201905140822]]', '[[201905140823]]']",Fri Nov 24 19:46:44 2023,102
Mountains And Rivers Sutra,['202008122057'],"['#zen', '#uji', '#beautiful-language', '#writing', '#skill']","['[[202008122057]]', '[[202008100702]]', '[[202007230826]]', '[[201912240900]]', '[[201912240900]]', '[[202008171814]]']",Wed Dec 27 20:17:20 2023,275
» Look Around,['202011092114'],['#dzogchen'],"['[[202011092114]]', '[[201901230614]]', '[[202010270807]]', '[[202007202019]]']",Wed Dec 27 20:17:20 2023,119
Absolute Certainty,['201912071552'],['#thinking-skills'],"['[[201901151737]]', '[[201912071552]]']",Sun Jan 28 08:29:34 2024,155
Walking Epigraphs,['202112130808'],"['#sauntering', '#epigraph', '#beautiful-language', '#sauntering']","['[[202112130808]]', '[[202112130808]]', '[[202110021647]]', '[[202012231620]]', '[[202008291653]]', '[[202003311652]]', '[[202208310751]]', '[[202001211808]]', '[[202207161553]]', '[[202008112103]]']",Mon Mar 11 06:08:57 2024,527
Shortest And Longest Zettel,['202010181851'],"['#coding', '#tech-help']","['[[202010181851]]', '[[202010171623]]', '[[202008011415]]']",Fri Nov 24 19:46:44 2023,553
Sound perception,['201905121657'],[],"['[[201904251607]]', '[[201905022005]]', '[[201905121657]]']",Fri Nov 24 19:46:44 2023,145
Fallacy of Gray,['201912041713'],['#thinking-skills'],"['[[201912041709]]', '[[201912041725]]', '[[202106120843]]', '[[201912041713]]']",Fri Nov 24 19:46:44 2023,146
A-How Evergreen Notes Are Similar To Zettel,['202009100558'],"['#zettelkasting', '#note-taking', '#article']","['[[202009100558]]', '[[202002210520]]', '[[202002210512]]', '[[202008271702]]', '[[202005020537]]', '[[202002210518]]', '[[202011071426]]', '[[202008291718]]', '[[202008160845]]', '[[201902241557]]', '[[201901111008]]', '[[202005050818]]', '[[202102050746]]', '[[202009100558]]']",Fri Nov 24 19:46:44 2023,272
Truth confirmation,['201905311111'],"['#thinking-skills,', '#mental-models']","['[[201905311111]]', '[[202212282103]]', '[[202101091525]]', '[[201812271440]]', '[[201812311655]]', '[[202003040656]]', '[[202007220738]]', '[[201905140817]]', '[[202001141918]]', '[[201906070800]]']",Fri Nov 24 19:46:44 2023,189
Opportunity Costs Of Finer Distractions,['202107070941'],"['#mind-science', '#distraction', '#attention']","['[[202107070941]]', '[[201901282030]]', '[[202206140938]]', '[[202107150912]]', '[[201903210523]]', '[[202107130604]]', '[[201903112051]]', '[[201910021727]]', '[[201909280707]]', '[[201903120632]]', '[[201901282030]]', '[[201901010817]]', '[[202009100828]]']",Thu Dec 07 20:46:44 2023,311
